instrument,register,n_samples,mean_centroid_hz,mean_spread_hz,V1_spread_centroid,V2_energy_1khz,V3_inv_formant_disp,V4_mfcc1,V1_z,V2_z,V3_z,V4_z,Volume_index,Density_index
Contrabass+sordina,médium,18,997.3,2413.2,2.5628,0.9925,,36.03,1.907,0.908,0.000,0.387,1.067,-1.067
Harp,grave,14,602.7,1484.7,2.5013,0.9957,,36.83,1.803,0.918,0.000,0.478,1.066,-1.066
Violoncello+sordina_piombo,grave,16,1026.0,2687.2,2.6681,0.9982,,34.13,2.087,0.925,0.000,0.172,1.061,-1.061
Horn+sordina,grave,14,673.2,1699.4,2.5322,0.9972,,35.44,1.855,0.922,0.000,0.321,1.033,-1.033
Horn,pédale,3,554.9,1440.0,2.5667,0.9997,,34.37,1.914,0.930,0.000,0.200,1.014,-1.014
Horn+sordina,médium,17,743.0,1899.2,2.5467,0.9972,,34.35,1.880,0.922,0.000,0.198,1.000,-1.000
Guitar,médium,50,632.9,1262.3,2.0166,0.9855,,40.64,0.978,0.887,0.000,0.908,0.924,-0.924
Violoncello,grave,9,1002.3,2146.9,2.1615,0.9789,,38.48,1.224,0.868,0.000,0.663,0.918,-0.918
Contrabass_Tuba,grave,20,445.2,646.4,1.4634,0.9979,,48.36,0.036,0.924,0.000,1.780,0.913,-0.913
Bassoon+sordina,bas_médium,12,875.7,1731.5,1.9639,0.9862,,40.55,0.888,0.889,0.000,0.898,0.892,-0.892
Contrabass_Tuba,aigu,10,492.3,830.5,1.6661,0.9995,,44.47,0.381,0.929,0.000,1.340,0.884,-0.884
Violoncello_Ensemble,grave,7,788.8,1427.7,1.8204,0.9929,,42.02,0.644,0.909,0.000,1.063,0.872,-0.872
Violoncello+sordina,médium,14,1332.0,2764.4,2.1403,0.9862,,37.13,1.188,0.890,0.000,0.511,0.863,-0.863
Bassoon+sordina,grave,11,592.6,1071.4,1.8369,0.9962,,41.43,0.672,0.919,0.000,0.997,0.863,-0.863
Contrabass_Clarinet_Bb,médium,4,1082.7,1693.0,1.5937,0.9154,,46.08,0.258,0.679,0.000,1.522,0.820,-0.820
Bassoon,bas_médium,12,910.6,1676.1,1.8360,0.9768,,39.90,0.670,0.862,0.000,0.824,0.785,-0.785
Horn,grave,14,526.8,965.4,1.8378,0.9990,,39.25,0.674,0.928,0.000,0.751,0.784,-0.784
Bassoon,grave,12,747.1,1315.5,1.7581,0.9833,,40.82,0.538,0.881,0.000,0.927,0.782,-0.782
Horn+sordina,pédale,2,920.6,1954.5,2.0929,0.9682,,35.68,1.108,0.836,0.000,0.347,0.764,-0.764
Bass_Tuba,aigu,9,397.7,706.8,1.7287,1.0000,,40.31,0.488,0.930,0.000,0.871,0.763,-0.763
Bassoon+sordina,haut_médium,12,1134.4,2286.5,2.0159,0.9473,,37.09,0.977,0.774,0.000,0.507,0.752,-0.752
Bass_Clarinet_Bb,grave,17,1014.9,1398.4,1.3819,0.8911,,47.26,-0.102,0.608,0.000,1.655,0.720,-0.720
Violoncello_Ensemble,médium,12,1077.9,1645.7,1.5464,0.9701,,42.17,0.178,0.842,0.000,1.080,0.700,-0.700
Contrabass_Clarinet_Bb,grave,5,1145.4,1620.9,1.4256,0.9230,,44.88,-0.028,0.702,0.000,1.386,0.687,-0.687
Horn,médium,17,594.5,914.5,1.5469,0.9960,,41.02,0.178,0.919,0.000,0.950,0.682,-0.682
Trombone+sordina_wah,grave,26,971.5,1993.3,2.0425,0.9465,,34.70,1.022,0.772,0.000,0.237,0.677,-0.677
Bass_Tuba,suraigu,3,458.9,760.4,1.6276,0.9998,,39.15,0.316,0.930,0.000,0.740,0.662,-0.662
Trombone+sordina_straight,grave,13,853.2,1480.9,1.7657,0.9740,,37.61,0.551,0.853,0.000,0.565,0.656,-0.656
Contrabass,aigu,35,1404.7,2581.6,1.8827,0.9374,,36.71,0.750,0.745,0.000,0.464,0.653,-0.653
Violoncello,médium,30,1392.9,2368.0,1.7246,0.9389,,38.30,0.481,0.749,0.000,0.644,0.625,-0.625
Violoncello+sordina_piombo,médium,27,2090.3,3698.4,1.9821,0.9703,,33.38,0.919,0.842,0.000,0.087,0.616,-0.616
Trombone+sordina_straight,médium,12,832.0,1349.3,1.6279,0.9790,,37.86,0.316,0.868,0.000,0.593,0.593,-0.593
Contrabass_Clarinet_Bb,aigu,6,1282.7,1739.5,1.3715,0.8556,,44.80,-0.120,0.502,0.000,1.377,0.587,-0.587
Guitar,aigu,26,1089.0,1898.1,1.7401,0.9487,,36.56,0.507,0.778,0.000,0.446,0.577,-0.577
Trombone,grave,19,789.9,1065.3,1.3564,0.9546,,42.08,-0.146,0.796,0.000,1.070,0.573,-0.573
Bass_Trombone,aigu,4,934.1,1212.6,1.2932,0.9523,,42.78,-0.253,0.789,0.000,1.149,0.561,-0.561
Trombone,médium,12,860.1,1213.2,1.4153,0.9394,,41.22,-0.045,0.751,0.000,0.973,0.559,-0.559
Viola+sordina,grave,7,1430.6,2487.2,1.7437,0.9078,,36.45,0.513,0.657,0.000,0.434,0.535,-0.535
Bass_Trombone,pédale,4,931.7,1115.5,1.2429,0.8855,,44.41,-0.339,0.591,0.000,1.333,0.528,-0.528
Trombone+sordina_harmon,médium,12,1255.6,2545.6,2.0747,0.9517,,30.08,1.077,0.787,0.000,-0.285,0.526,-0.526
Bass_Flute,médium,3,1717.4,2510.3,1.4938,0.8872,,40.39,0.088,0.596,0.000,0.880,0.521,-0.521
Contrebasson,aigu,12,549.5,946.3,1.7191,0.9977,0.003138,47.07,0.471,0.923,-1.000,1.634,0.507,-0.507
Bassoon,haut_médium,12,1100.9,1853.8,1.7146,0.9107,,35.99,0.464,0.666,0.000,0.382,0.504,-0.504
Contrebasson,médium,11,489.3,794.3,1.6278,0.9985,0.003138,47.64,0.316,0.926,-1.000,1.697,0.485,-0.485
Contrabass+sordina,aigu,12,1835.6,3146.2,1.7346,0.9375,,34.31,0.498,0.745,0.000,0.193,0.479,-0.479
Contrebasson,grave,13,426.7,682.4,1.6027,0.9987,0.003138,47.63,0.273,0.927,-1.000,1.697,0.474,-0.474
Clarinet_Bb,chalumeau,13,1116.0,1666.2,1.4937,0.8910,,38.49,0.088,0.607,0.000,0.665,0.453,-0.453
Trombone+sordina_wah,médium,24,1381.6,2579.9,1.7681,0.9320,,33.24,0.555,0.729,0.000,0.072,0.452,-0.452
Harp,aigu,24,1079.4,1678.8,1.6835,0.9599,,33.32,0.411,0.811,0.000,0.081,0.435,-0.435
Bassoon+sordina,aigu,6,1297.2,2424.9,1.8676,0.9132,,31.66,0.724,0.673,0.000,-0.106,0.430,-0.430
Horn+sordina,aigu,13,872.1,1544.9,1.8308,0.9706,,30.24,0.662,0.843,0.000,-0.267,0.413,-0.413
Trombone,pédale,1,860.0,979.2,1.1386,0.9069,,42.30,-0.516,0.654,0.000,1.095,0.411,-0.411
Contrabass_Flute,médium,4,1681.3,2431.0,1.4584,0.7619,,41.08,0.028,0.225,0.000,0.958,0.403,-0.403
Bass_Clarinet_Bb,aigu,14,1030.4,1222.9,1.1933,0.8120,,43.58,-0.423,0.373,0.000,1.239,0.396,-0.396
Viola+sordina,médium,22,1538.4,2654.1,1.7493,0.8825,,33.25,0.523,0.582,0.000,0.073,0.393,-0.393
Trombone,aigu,8,1092.9,1554.3,1.4201,0.9204,,36.81,-0.037,0.694,0.000,0.476,0.378,-0.378
Guitar,suraigu,2,1405.0,2035.5,1.4384,0.9360,,34.41,-0.006,0.741,0.000,0.204,0.313,-0.313
Bass_Trombone,médium,12,1210.2,1246.1,1.0317,0.7730,,44.70,-0.698,0.258,0.000,1.366,0.308,-0.308
Trombone+sordina_cup,grave,13,1114.4,1781.1,1.5963,0.8247,,34.83,0.263,0.411,0.000,0.251,0.308,-0.308
Horn,aigu,13,747.6,968.1,1.2996,0.9937,,34.52,-0.242,0.912,0.000,0.217,0.295,-0.295
Violoncello_Ensemble,aigu,12,1907.2,2338.8,1.2671,0.8739,,37.89,-0.298,0.557,0.000,0.597,0.285,-0.285
Bass_Clarinet_Bb,médium,6,1245.3,1462.7,1.1990,0.6348,,45.07,-0.414,-0.152,0.000,1.408,0.281,-0.281
Flute,grave,22,1362.7,2127.9,1.5901,0.8726,,32.88,0.252,0.553,0.000,0.032,0.279,-0.279
Viola,grave,9,1635.2,2155.2,1.3235,0.8614,,37.18,-0.202,0.520,0.000,0.517,0.278,-0.278
Bassoon,aigu,6,1236.7,2063.1,1.6752,0.8741,,31.17,0.397,0.557,0.000,-0.162,0.264,-0.264
Violoncello+sordina,aigu,13,2493.0,3636.1,1.4979,0.9135,,32.35,0.095,0.674,0.000,-0.028,0.247,-0.247
Trombone+sordina_cup,médium,12,1167.5,1777.8,1.5240,0.8447,,33.33,0.139,0.470,0.000,0.082,0.231,-0.231
Bass_Trombone,grave,24,1266.2,1225.8,0.9729,0.7216,,44.36,-0.798,0.105,0.000,1.327,0.211,-0.211
Violin_Ensemble,grave,5,1676.3,1671.6,1.0020,0.8920,,38.96,-0.749,0.610,0.000,0.718,0.193,-0.193
Contrabass_Flute,aigu,3,2403.0,2990.8,1.2691,0.8609,,34.71,-0.294,0.518,0.000,0.238,0.154,-0.154
Trombone+sordina_straight,aigu,6,1209.8,1468.0,1.2451,0.8973,,34.11,-0.335,0.626,0.000,0.170,0.154,-0.154
Violoncello,aigu,36,2111.4,2856.8,1.3869,0.7865,,34.74,-0.094,0.298,0.000,0.241,0.148,-0.148
Sax_Alto,grave,13,1533.2,1975.2,1.3191,0.7898,,35.18,-0.209,0.307,0.000,0.292,0.130,-0.130
Viola,médium,30,1776.1,2216.6,1.2630,0.8079,,34.39,-0.305,0.361,0.000,0.202,0.086,-0.086
Violoncello+sordina_piombo,aigu,26,3487.3,4403.5,1.3046,0.9358,,30.07,-0.234,0.740,0.000,-0.286,0.073,-0.073
Clarinet_Bb,gorge,6,1305.5,1926.9,1.4839,0.6350,,35.04,0.071,-0.151,0.000,0.275,0.065,-0.065
Contrabass,suraigu,14,2198.3,3139.1,1.4481,0.7242,,32.50,0.010,0.113,0.000,-0.011,0.037,-0.037
Trombone+sordina_wah,aigu,12,1736.1,2608.1,1.4605,0.8055,,30.13,0.031,0.354,0.000,-0.280,0.035,-0.035
Violin+sordina,grave,5,2553.2,3073.5,1.2216,0.8533,,32.29,-0.375,0.496,0.000,-0.035,0.028,-0.028
Trumpet_C+sordina_wah,grave,12,1684.2,2430.9,1.4146,0.7773,,31.21,-0.047,0.270,0.000,-0.157,0.022,-0.022
Clarinet_Eb,chalumeau,5,1612.1,1783.1,1.1031,0.5478,,41.51,-0.577,-0.410,0.000,1.006,0.007,-0.007
Violin,grave,6,2474.6,2731.4,1.1138,0.8324,,33.86,-0.559,0.434,0.000,0.142,0.006,-0.006
Flute,médium,24,1855.8,2655.3,1.4501,0.8687,,27.29,0.014,0.541,0.000,-0.600,-0.015,0.015
Bass_Flute,aigu,5,3176.3,3598.0,1.2030,0.7774,,32.79,-0.407,0.271,0.000,0.021,-0.038,0.038
Violin_Ensemble,médium,12,1939.2,1829.3,0.9553,0.7985,,35.83,-0.828,0.333,0.000,0.364,-0.044,0.044
Contrabass+sordina,suraigu,7,2658.5,3600.1,1.3935,0.7242,,31.04,-0.083,0.113,0.000,-0.176,-0.049,0.049
Trombone+sordina_cup,aigu,6,1289.6,1646.5,1.2803,0.7405,,30.40,-0.275,0.161,0.000,-0.249,-0.121,0.121
Clarinet_Bb,clarine,14,1419.6,1674.3,1.2120,0.8018,,29.72,-0.391,0.343,0.000,-0.325,-0.125,0.125
Violin+sordina,médium,26,2804.7,3075.4,1.1170,0.8560,,29.08,-0.553,0.504,0.000,-0.398,-0.149,0.149
Trumpet_C+sordina_wah,médium,16,1787.8,2282.6,1.2793,0.6862,,30.10,-0.277,0.000,0.000,-0.282,-0.186,0.186
Violoncello_Ensemble,suraigu,6,2714.4,2814.2,1.0413,0.6792,,33.37,-0.682,-0.020,0.000,0.087,-0.205,0.205
English_Horn,grave,7,1632.5,1851.8,1.1259,0.3490,,40.24,-0.538,-0.999,0.000,0.863,-0.225,0.225
Trombone+sordina_harmon,aigu,6,2342.9,3008.5,1.3195,0.7168,,27.38,-0.208,0.091,0.000,-0.590,-0.236,0.236
Violin,médium,27,2720.4,2800.1,1.0382,0.7381,,30.74,-0.687,0.154,0.000,-0.211,-0.248,0.248
Oboe+sordina,grave,10,1434.8,1529.1,1.0714,0.3882,,39.27,-0.631,-0.882,0.000,0.753,-0.254,0.254
Trumpet_C,grave,6,1625.9,1567.1,0.9754,0.4783,,37.06,-0.794,-0.616,0.000,0.504,-0.302,0.302
Clarinet_Eb,médium,4,1821.6,1685.6,0.9245,0.7116,,31.09,-0.881,0.076,0.000,-0.171,-0.325,0.325
Viola+sordina_piombo,médium,11,4246.6,4669.5,1.1159,0.8135,,24.76,-0.555,0.378,0.000,-0.885,-0.354,0.354
Violoncello+sordina,suraigu,14,3670.9,4093.0,1.1468,0.6917,,27.04,-0.502,0.017,0.000,-0.628,-0.371,0.371
Viola+sordina,aigu,17,2793.0,3560.4,1.3077,0.6490,,25.67,-0.229,-0.110,0.000,-0.782,-0.374,0.374
Bass_Clarinet_Bb,suraigu,15,1432.0,1371.3,0.9731,0.6456,,30.68,-0.798,-0.120,0.000,-0.217,-0.378,0.378
English_Horn,aigu,7,1909.7,1987.2,1.0443,0.7529,,26.69,-0.677,0.198,0.000,-0.667,-0.382,0.382
English_Horn,médium,12,1483.5,1646.4,1.1070,0.3750,,34.65,-0.570,-0.922,0.000,0.232,-0.420,0.420
Viola,aigu,40,2557.5,2760.2,1.0933,0.5603,,28.57,-0.594,-0.373,0.000,-0.456,-0.474,0.474
Violin+sordina_piombo,grave,11,4100.1,4639.9,1.1440,0.5538,,27.82,-0.507,-0.392,0.000,-0.539,-0.480,0.480
Oboe,grave,10,1651.0,1709.2,1.0345,0.2298,,37.43,-0.694,-1.352,0.000,0.545,-0.500,0.500
Trumpet_C,médium,8,1852.6,1765.4,0.9566,0.4022,,33.09,-0.826,-0.841,0.000,0.055,-0.537,0.537
Violoncello+sordina_piombo,suraigu,28,4822.0,4636.5,0.9885,0.6448,,25.15,-0.772,-0.122,0.000,-0.842,-0.579,0.579
Trumpet_C+sordina_wah,aigu,10,2272.0,2428.7,1.1284,0.5208,,25.07,-0.534,-0.490,0.000,-0.850,-0.625,0.625
Oboe+sordina,médium,12,1696.2,1895.2,1.1185,0.2828,,30.83,-0.551,-1.195,0.000,-0.200,-0.648,0.648
Violoncello,suraigu,22,3322.2,3489.4,1.0680,0.4168,,28.00,-0.636,-0.798,0.000,-0.520,-0.651,0.651
Trumpet_C,aigu,5,1839.0,1812.0,0.9874,0.4193,,29.09,-0.774,-0.790,0.000,-0.396,-0.654,0.654
Oboe+sordina,aigu,7,1951.0,2294.0,1.1919,0.4680,,24.25,-0.426,-0.646,0.000,-0.943,-0.672,0.672
Viola+sordina_piombo,aigu,35,5443.1,5171.4,0.9565,0.6505,,20.63,-0.826,-0.105,0.000,-1.352,-0.761,0.761
Violin_Ensemble,aigu,12,3145.0,2662.8,0.8489,0.4570,,26.88,-1.009,-0.679,0.000,-0.646,-0.778,0.778
Sax_Alto,médium,11,2565.9,2531.7,0.9875,0.4745,,23.57,-0.773,-0.627,0.000,-1.020,-0.807,0.807
Oboe,médium,12,1988.2,2237.6,1.1217,0.2135,,28.29,-0.545,-1.400,0.000,-0.486,-0.811,0.811
Viola+sordina,suraigu,6,3717.7,4058.9,1.1027,0.4647,,20.93,-0.577,-0.656,0.000,-1.317,-0.850,0.850
Violin+sordina,aigu,25,4448.3,3957.0,0.8962,0.4741,,22.65,-0.929,-0.628,0.000,-1.123,-0.893,0.893
Violin,aigu,37,3781.0,3459.4,0.9212,0.3629,,24.95,-0.886,-0.958,0.000,-0.864,-0.903,0.903
Trumpet_C+sordina_straight,grave,6,2625.6,1943.8,0.7395,0.2477,,30.61,-1.196,-1.299,0.000,-0.225,-0.906,0.906
Violin+sordina_piombo,médium,24,5322.3,4727.3,0.9129,0.3968,,23.44,-0.900,-0.857,0.000,-1.035,-0.931,0.931
Trumpet_C+sordina_straight,médium,8,2593.8,1942.6,0.7507,0.2062,,28.74,-1.176,-1.422,0.000,-0.436,-1.011,1.011
Oboe,aigu,7,2154.8,2241.1,1.0417,0.2491,,23.07,-0.681,-1.295,0.000,-1.077,-1.018,1.018
Trumpet_C+sordina_wah,suraigu,29,2934.2,2942.3,1.0793,0.3938,,18.39,-0.617,-0.866,0.000,-1.605,-1.029,1.029
Piccolo,grave,6,2240.6,2037.4,0.9088,0.2920,,23.18,-0.907,-1.168,0.000,-1.064,-1.046,1.046
Trumpet_C,suraigu,14,2278.6,2172.5,0.9571,0.3220,,21.10,-0.825,-1.079,0.000,-1.298,-1.067,1.067
Flute,aigu,24,3047.8,3786.5,1.2626,0.1459,,20.12,-0.305,-1.600,0.000,-1.409,-1.105,1.105
Viola,suraigu,24,3709.3,3643.9,0.9893,0.1583,,22.71,-0.770,-1.564,0.000,-1.117,-1.150,1.150
Trumpet_C+sordina_straight,aigu,5,2684.7,1989.6,0.7431,0.1807,,24.86,-1.189,-1.497,0.000,-0.874,-1.187,1.187
Trumpet_C+sordina_harmon,grave,6,5548.9,3900.9,0.7096,0.3578,,19.90,-1.246,-0.973,0.000,-1.435,-1.218,1.218
Trumpet_C+sordina_cup,grave,6,2634.3,2301.9,0.8727,0.0264,,25.07,-0.969,-1.955,0.000,-0.851,-1.258,1.258
Harp,suraigu,19,2987.4,2542.0,0.8877,0.0224,,24.23,-0.943,-1.967,0.000,-0.945,-1.285,1.285
Trumpet_C+sordina_harmon,médium,8,5274.8,3799.7,0.7465,0.2903,,18.56,-1.184,-1.173,0.000,-1.585,-1.314,1.314
Trumpet_C+sordina_cup,médium,8,2978.2,2504.0,0.8432,0.0091,,22.10,-1.019,-2.006,0.000,-1.186,-1.404,1.404
Viola+sordina_piombo,suraigu,28,6081.0,5061.9,0.8744,0.2160,,15.81,-0.966,-1.393,0.000,-1.896,-1.418,1.418
Clarinet_Bb,suraigu,9,1886.0,1635.2,0.8598,0.0674,,19.46,-0.991,-1.833,0.000,-1.483,-1.436,1.436
Violin,suraigu,25,5030.5,4178.0,0.8341,0.0030,,20.61,-1.035,-2.024,0.000,-1.354,-1.471,1.471
Violin_Ensemble,suraigu,12,4062.8,3088.5,0.7609,0.0008,,21.64,-1.159,-2.031,0.000,-1.238,-1.476,1.476
Piccolo,médium,7,2780.2,2468.8,0.8879,0.0000,,18.85,-0.943,-2.033,0.000,-1.553,-1.509,1.509
Flute,suraigu,6,5398.9,5255.8,0.9852,0.0000,,16.99,-0.777,-2.033,0.000,-1.762,-1.524,1.524
Trumpet_C+sordina_straight,suraigu,15,3228.7,2383.8,0.7384,0.1356,,17.01,-1.197,-1.631,0.000,-1.761,-1.530,1.530
Oboe+sordina,suraigu,7,3090.8,2607.5,0.8538,0.0000,,18.76,-1.001,-2.033,0.000,-1.563,-1.532,1.532
Clarinet_Eb,aigu,5,3006.4,2220.9,0.7698,0.0001,,19.58,-1.144,-2.033,0.000,-1.470,-1.549,1.549
Violin+sordina_piombo,aigu,23,7987.8,5337.6,0.6786,0.1238,,16.72,-1.299,-1.666,0.000,-1.793,-1.586,1.586
Violin+sordina,suraigu,12,5931.8,4414.3,0.7461,0.0054,,18.33,-1.184,-2.017,0.000,-1.612,-1.604,1.604
Oboe,suraigu,6,2902.5,2222.0,0.7825,0.0000,,17.06,-1.122,-2.033,0.000,-1.755,-1.637,1.637
Trumpet_C+sordina_cup,aigu,5,3463.8,2790.3,0.8060,0.0041,,16.20,-1.082,-2.021,0.000,-1.852,-1.652,1.652
Piccolo,aigu,14,4050.2,2756.8,0.6885,0.0000,,13.72,-1.282,-2.033,0.000,-2.132,-1.816,1.816
Trumpet_C+sordina_harmon,aigu,5,6024.5,3698.4,0.6148,0.0506,,13.47,-1.408,-1.883,0.000,-2.161,-1.817,1.817
Violin+sordina_piombo,suraigu,22,8712.0,5232.4,0.6046,0.0054,,13.44,-1.425,-2.017,0.000,-2.164,-1.869,1.869
Trumpet_C+sordina_cup,suraigu,15,4615.1,3353.3,0.7406,0.0012,,10.10,-1.194,-2.029,0.000,-2.540,-1.921,1.921
Trumpet_C+sordina_harmon,suraigu,15,6541.4,3895.8,0.5986,0.0120,,7.84,-1.435,-1.997,0.000,-2.796,-2.076,2.076
