instrument,technique,technique_family,n_samples,F1_hz,F2_hz,F3_hz,F4_hz,F5_hz,F6_hz,F1_db,F2_db,F3_db,F4_db,F5_db,F6_db,F1_mean,F1_std,F1_q25,F1_q75,F2_mean,F2_std,F2_q25,F2_q75,F3_mean,F3_std,F3_q25,F3_q75,F4_mean,F4_std,F5_mean,F5_std,F6_mean,F6_std,reliability_score,rugosity,suddenness,mean_kurtosis,mean_irregularity
Tuba basse,blow,other,1,193.8,538.3,1173.6,1571.9,,,-1.12,-16.35,-10.36,-25.57,,,193.8,0.0,193.8,193.8,538.3,0.0,538.3,538.3,1173.6,0.0,1173.6,1173.6,1571.9,0.0,,,,,0.0,0.0,0.0,91.453,0.001
Tuba basse,brassy,brassy,3,290.7,592.2,882.9,1184.3,1475.0,1765.7,12.98,8.31,2.22,-3.19,-5.50,-9.73,294.3,13.4,279.9,312.2,592.2,26.4,559.9,624.5,886.5,39.6,839.8,936.7,1184.3,52.7,1478.6,66.0,1772.9,79.3,0.511,0.179,0.0,11.572,0.016
Tuba basse,breath,breath_tone,1,183.0,796.7,1184.3,1485.8,2024.1,4877.3,-17.90,-16.67,-20.48,-23.72,-35.76,-38.18,183.0,0.0,183.0,183.0,796.7,0.0,796.7,796.7,1184.3,0.0,1184.3,1184.3,1485.8,0.0,2024.1,0.0,4877.3,0.0,0.0,0.0,0.0,47.969,0.001
Tuba basse,buzz,buzz,4,312.2,958.2,1195.1,1259.7,1561.2,1862.6,-23.36,-25.20,-29.59,-27.35,-36.12,-42.09,279.9,106.3,236.9,430.7,761.7,234.5,635.2,1012.1,1095.5,281.5,947.5,1496.6,1274.0,193.7,1561.2,228.6,1941.6,143.2,0.384,0.136,0.0,13.719,0.003
Tuba basse,chromatic_scale,other,2,247.6,506.0,,,,,14.68,6.47,,,,,242.2,5.4,236.9,247.6,495.3,10.8,484.5,506.0,,,,,,,,,,,0.506,0.0,0.0,408.767,0.0
Tuba basse,crescendo,crescendo,33,226.1,452.2,872.1,1238.2,1345.8,1755.0,4.71,3.40,-8.85,-13.18,-14.17,-24.38,232.3,29.9,215.3,226.1,499.8,156.3,441.4,473.7,874.6,162.7,710.6,1012.1,1219.3,221.7,1449.4,218.9,1694.4,136.9,0.605,0.0,0.0,255.132,0.001
Tuba basse,crescendo_to_decrescendo,crescendo,33,215.3,452.2,990.5,1162.8,1324.3,1582.7,2.78,1.13,-15.87,-20.22,-22.58,-28.77,224.5,21.7,204.6,236.9,459.9,38.9,441.4,463.0,954.8,176.2,839.8,1033.6,1171.0,136.3,1370.4,81.5,1593.5,118.9,0.617,0.0,0.0,388.73,0.001
Tuba basse,decrescendo,crescendo,33,236.9,463.0,1001.3,1292.0,1851.9,1841.1,1.42,1.32,-11.29,-16.21,-27.32,-27.13,282.9,92.4,226.1,290.7,558.6,197.5,441.4,613.7,1049.1,274.1,958.2,1044.4,1403.0,374.1,1948.8,494.0,2078.0,490.8,0.511,0.0,0.0,250.156,0.001
Tuba basse,discolored_fingering,other,18,193.8,635.2,1055.1,1270.5,1604.2,1711.9,-25.79,-38.99,-55.20,-52.77,-60.34,-62.29,209.4,48.3,172.3,247.6,685.9,182.4,570.6,764.4,1047.1,205.1,861.3,1259.7,1285.3,114.1,1547.7,112.8,1711.9,0.0,0.549,0.0,0.0,115.372,0.001
Tuba basse,discolored_fingering_quartertones,other,9,183.0,613.7,1130.5,1345.8,1668.8,1970.3,-29.82,-40.38,-50.97,-53.72,-62.08,-63.96,230.9,81.4,172.3,258.4,624.5,134.4,516.8,699.8,1103.6,161.7,1033.6,1270.5,1320.7,120.0,1658.1,127.7,1970.3,0.0,0.462,0.0,0.0,211.437,0.002
Tuba basse,exploding_slap_pitched,slap,1,193.8,387.6,689.1,969.0,1528.9,,-1.35,-2.11,-13.54,-18.97,-29.24,,193.8,0.0,193.8,193.8,387.6,0.0,387.6,387.6,689.1,0.0,689.1,689.1,969.0,0.0,1528.9,0.0,,,0.0,0.0,1.0,43.557,0.0
Tuba basse,exploding_slap_unpitched,slap,1,204.6,549.1,1205.9,,,,1.82,-6.73,-26.93,,,,204.6,0.0,204.6,204.6,549.1,0.0,549.1,549.1,1205.9,0.0,1205.9,1205.9,,,,,,,0.0,0.0,1.0,37.691,0.0
Tuba basse,filtered_by_voice,other,1,290.7,829.0,,,,,-15.88,-35.74,,,,,290.7,0.0,290.7,290.7,829.0,0.0,829.0,829.0,,,,,,,,,,,0.0,0.0,0.0,389.987,0.0
Tuba basse,flatterzunge,flutter,72,215.3,452.2,1001.3,1119.7,,,-1.32,-3.58,-29.90,-34.56,,,230.3,41.1,204.6,226.1,473.9,70.5,441.4,473.7,976.8,97.1,925.9,1012.1,1170.0,103.0,,,,,0.588,0.0,0.0,463.311,0.001
Tuba basse,flatterzunge_and_voice_unison,flutter,35,226.1,452.2,969.0,1130.5,,,1.90,0.65,-22.13,-30.18,,,248.6,56.9,215.3,258.4,456.4,57.3,419.9,452.2,978.9,164.5,915.2,990.5,1144.8,123.5,,,,,0.565,0.0,0.0,543.159,0.001
Tuba basse,flatterzunge_to_ordinario,ordinario,33,215.3,463.0,990.5,1173.6,,,2.78,1.22,-23.86,-28.81,,,233.9,39.2,215.3,226.1,483.8,65.5,452.2,484.5,998.0,97.2,969.0,1022.8,1177.1,48.4,,,,,0.591,0.0,0.0,381.445,0.001
Tuba basse,glissando,glissando,30,215.3,430.7,742.9,1065.9,,,-4.79,-8.69,-25.32,-36.67,,,211.0,9.9,204.6,215.3,453.4,96.7,419.9,441.4,827.1,153.5,721.4,947.5,1095.5,109.6,,,,,0.635,0.0,0.5,497.897,0.0
Tuba basse,growl,other,2,333.8,1227.4,1248.9,,,,6.78,-19.55,-19.59,,,,269.2,64.6,204.6,333.8,1092.8,134.6,958.2,1227.4,1248.9,0.0,1248.9,1248.9,,,,,,,0.417,0.0,0.0,256.924,0.0
Tuba basse,inhaled,other,1,753.7,893.6,1356.6,2013.4,2314.8,2594.8,-9.38,-9.32,-4.10,-21.03,-29.49,-30.20,753.7,0.0,753.7,753.7,893.6,0.0,893.6,893.6,1356.6,0.0,1356.6,1356.6,2013.4,0.0,2314.8,0.0,2594.8,0.0,0.0,0.0,0.0,104.238,0.0
Tuba basse,kiss,other,1,301.5,613.7,958.2,,,,1.05,7.25,-3.64,,,,301.5,0.0,301.5,301.5,613.7,0.0,613.7,613.7,958.2,0.0,958.2,958.2,,,,,,,0.0,0.0,0.0,32.326,0.001
Tuba basse,multiphonics,multiphonic,3,215.3,452.2,,,,,-4.12,-7.44,,,,,211.7,5.1,204.6,215.3,445.0,10.2,430.7,452.2,,,,,,,,,,,0.523,0.0,0.0,333.239,0.0
Tuba basse,ordinario,ordinario,108,226.1,452.2,979.8,1292.0,1550.4,1862.6,-6.41,-9.64,-29.71,-36.41,-40.26,-45.85,232.3,48.0,204.6,236.9,482.8,95.9,430.7,495.3,977.6,142.6,936.7,1001.3,1326.9,231.2,1708.2,395.9,2015.4,431.5,0.578,0.0,0.0,259.816,0.001
Tuba basse,ordinario_high_register,ordinario,15,430.7,786.0,1259.7,1658.1,1970.3,2627.1,2.94,-16.42,-28.72,-37.62,-41.91,-47.16,425.6,30.4,398.4,452.2,805.3,69.1,753.7,872.1,1253.5,101.5,1141.3,1367.4,1647.3,129.6,1921.8,48.4,2497.9,129.2,0.566,0.0,0.0,419.277,0.002
Tuba basse,ordinario_quartertones,ordinario,35,215.3,430.7,979.8,,,,-8.54,-10.65,-35.72,,,,231.0,38.1,204.6,247.6,459.3,72.6,419.9,463.0,959.6,56.6,947.5,1012.1,,,,,,,0.593,0.0,0.0,754.958,0.001
Tuba basse,ordinario_to_flatterzunge,ordinario,33,215.3,452.2,1001.3,1270.5,,,5.40,3.08,-22.09,-29.43,,,230.3,34.2,215.3,236.9,474.4,59.2,441.4,484.5,972.2,64.2,936.7,1022.8,1231.0,79.8,,,,,0.599,0.0,0.0,428.924,0.001
Tuba basse,pedal_tone,other,30,204.6,441.4,979.8,1270.5,1528.9,,4.84,-2.05,-27.58,-33.22,-40.70,,199.2,15.4,183.0,215.3,442.7,70.6,409.1,441.4,973.8,16.1,958.2,979.8,1281.2,18.3,1523.5,19.4,,,0.627,0.0,0.0,381.265,0.0
Tuba basse,percussion_embouchure,other,1,226.1,,,,,,15.19,,,,,,226.1,0.0,226.1,226.1,,,,,,,,,,,,,,,0.0,0.0,0.0,237.613,0.0
Tuba basse,play_and_sing_aug_forth_up,other,5,226.1,430.7,1065.9,1378.1,,,-1.99,-2.24,-29.56,-41.53,,,241.2,35.1,215.3,258.4,465.1,44.3,430.7,495.3,1065.9,0.0,1065.9,1065.9,1378.1,0.0,,,,,0.502,0.0,0.0,690.428,0.0
Tuba basse,play_and_sing_fifth_up,other,5,215.3,452.2,872.1,1162.8,,,-5.72,-7.51,-26.10,-37.90,,,247.6,48.6,204.6,301.5,482.3,42.7,452.2,516.8,850.6,21.5,829.0,872.1,1141.3,21.5,,,,,0.481,0.0,0.0,662.804,0.0
Tuba basse,play_and_sing_glissando,glissando,1,226.1,,,,,,0.94,,,,,,226.1,0.0,226.1,226.1,,,,,,,,,,,,,,,0.0,0.0,0.5,512.58,0.0
Tuba basse,play_and_sing_maj_seventh_up,other,5,236.9,495.3,1248.9,,,,-5.42,-6.51,-35.51,,,,279.9,88.0,226.1,269.2,570.6,207.0,441.4,925.9,1227.4,21.5,1205.9,1248.9,,,,,,,0.422,0.0,0.0,684.956,0.0
Tuba basse,play_and_sing_min_second_up,other,4,301.5,441.4,882.9,,,,-5.25,-12.43,-25.43,,,,306.8,88.3,247.6,452.2,473.7,86.6,387.6,592.2,882.9,0.0,882.9,882.9,,,,,,,0.411,0.0,0.0,577.709,0.003
Tuba basse,play_and_sing_unison,other,21,236.9,452.2,969.0,1248.9,1539.6,,-13.15,-14.80,-31.47,-37.73,-43.90,,250.2,44.8,215.3,279.9,496.3,83.2,430.7,538.3,1008.5,162.3,882.9,1216.6,1328.3,137.7,1534.2,5.4,,,0.563,0.0,0.0,506.846,0.003
Tuba basse,sforzato,other,33,226.1,452.2,1012.1,1292.0,1571.9,1787.3,9.94,9.68,-3.35,-7.46,-12.06,-17.56,238.5,24.9,226.1,236.9,465.2,47.4,441.4,463.0,1011.7,157.2,947.5,1033.6,1286.4,137.6,1622.2,189.8,1780.8,138.7,0.613,0.0,0.0,172.337,0.001
Tuba basse,single_tonguing,other,36,215.3,441.4,990.5,,,,5.20,2.19,-26.00,,,,228.5,39.3,204.6,236.9,461.1,69.2,430.7,441.4,944.8,62.0,958.2,990.5,,,,,,,0.591,0.0,0.0,633.068,0.001
Tuba basse,slap_pitched,slap,33,204.6,646.0,732.1,1001.3,1281.2,,6.76,-10.67,-12.59,-19.51,-28.90,,209.8,17.8,193.8,215.3,661.3,231.7,441.4,861.3,808.6,133.0,699.8,969.0,993.2,15.9,1281.2,0.0,,,0.623,0.0,1.0,107.268,0.001
Tuba basse,slap_unpitched,slap,9,215.3,538.3,710.6,1076.7,1270.5,,6.19,-4.25,-9.98,-19.20,-23.58,,215.3,22.1,193.8,215.3,633.4,291.9,419.9,764.4,739.3,56.5,689.1,818.3,1109.0,112.2,1270.5,0.0,,,0.551,0.0,1.0,118.404,0.0
Tuba basse,speak_into_instrument,other,7,226.1,549.1,1173.6,1464.3,1841.1,2164.1,-13.98,-20.30,-34.87,-38.95,-42.42,-44.40,224.6,30.1,193.8,247.6,656.8,249.4,452.2,764.4,1087.4,187.3,936.7,1173.6,1487.9,110.7,1866.9,178.7,2200.0,83.1,0.526,0.0,0.0,30.228,0.0
Tuba basse,staccato,staccato,66,215.3,452.2,1001.3,1281.2,1475.0,1561.2,5.27,3.45,-18.03,-25.59,-29.60,-31.64,225.8,22.0,215.3,226.1,460.1,43.2,441.4,463.0,1027.7,244.1,882.9,1238.2,1265.8,204.9,1433.3,93.5,1561.2,0.0,0.617,0.0,0.5,305.879,0.001
Tuba basse,trill_major_second_up,trill,36,215.3,430.7,839.8,,,,1.38,-1.50,-27.46,,,,234.2,45.6,204.6,226.1,472.7,89.4,419.9,495.3,882.9,68.7,829.0,979.8,,,,,,,0.582,0.0,0.0,334.849,0.001
Tuba basse,trill_minor_second_up,trill,36,215.3,430.7,850.6,,,,-1.13,-3.76,-29.41,,,,235.1,43.4,204.6,236.9,464.9,84.1,419.9,441.4,845.2,5.4,839.8,850.6,,,,,,,0.585,0.0,0.0,424.564,0.001
Tuba basse+sourdine,ordinario,ordinario,102,226.1,484.5,1012.1,1259.7,1862.6,2131.8,-15.33,-10.84,-22.65,-24.08,-37.63,-36.04,275.1,97.8,204.6,323.0,592.8,216.7,463.0,646.0,1044.1,252.2,915.2,1162.8,1379.0,378.6,1806.4,469.1,2177.4,412.1,0.503,0.0,0.0,94.719,0.001
Basson,blow_without_reed,other,13,527.6,936.7,1227.4,1690.4,2013.4,3046.9,-28.52,-35.67,-36.61,-31.91,-30.95,-38.67,432.3,143.3,409.1,538.3,869.6,217.3,656.8,1087.4,1284.5,265.6,1076.7,1636.5,1730.9,228.0,2189.8,441.4,3066.0,591.8,0.389,0.334,0.0,3.802,0.001
Basson,chromatic_scale,other,2,570.6,990.5,1205.9,1884.2,,,16.92,0.11,0.31,-14.29,,,559.9,10.8,549.1,570.6,990.5,0.0,990.5,990.5,1195.1,10.8,1184.3,1205.9,1717.3,166.9,,,,,0.498,0.0,0.0,45.595,0.001
Basson,crescendo,crescendo,37,430.7,764.4,1130.5,1561.2,1916.5,2487.1,-6.95,-15.40,-15.80,-21.24,-22.20,-28.28,380.6,145.3,215.3,484.5,753.4,197.8,559.9,925.9,1179.4,181.7,1044.4,1292.0,1580.9,334.7,2105.3,754.4,2785.0,948.0,0.432,0.0,0.0,27.749,0.002
Basson,crescendo_to_decrescendo,crescendo,41,376.8,689.1,1141.3,1582.7,1927.2,2304.1,-13.82,-16.19,-22.09,-30.07,-29.80,-34.95,367.1,137.2,204.6,484.5,744.2,237.0,506.0,947.5,1167.5,262.2,1001.3,1335.1,1593.7,395.9,2113.7,663.3,2726.0,956.6,0.444,0.0,0.0,56.193,0.002
Basson,decrescendo,crescendo,37,419.9,775.2,1152.0,1528.9,1873.4,2745.5,-9.87,-15.64,-16.92,-22.71,-23.68,-29.66,370.1,141.0,215.3,495.3,790.6,239.6,559.9,969.0,1192.5,241.4,1012.1,1356.6,1568.4,321.7,1957.5,374.5,2808.0,909.5,0.439,0.0,0.0,25.236,0.002
Basson,flatterzunge,flutter,32,495.3,915.2,1227.4,1625.8,1894.9,2185.6,5.73,-2.61,-5.02,-12.71,-15.83,-17.48,448.5,120.7,366.1,549.1,874.8,286.0,656.8,1022.8,1269.8,327.9,1001.3,1539.6,1680.3,432.3,2050.3,525.0,2613.6,852.9,0.469,0.0,0.0,44.339,0.002
Basson,glissando_with_throat,glissando,42,527.6,947.5,1216.6,1711.9,2078.0,4317.4,-5.47,-14.41,-18.42,-26.42,-25.70,-39.60,468.3,130.6,355.3,538.3,862.4,200.4,656.8,979.8,1267.9,265.4,1173.6,1528.9,1725.0,296.1,2269.8,602.9,3734.4,1047.3,0.454,0.0,0.5,68.98,0.003
Basson,harmonic_fingering,harmonics,8,409.1,742.9,1184.3,1528.9,2045.7,4554.3,-11.09,-14.22,-23.83,-31.14,-34.22,-37.18,413.2,30.4,398.4,463.0,741.5,62.2,699.8,839.8,1145.3,67.4,1109.0,1227.4,1504.6,100.8,1966.3,131.9,3542.2,1209.5,0.532,0.0,0.0,44.917,0.003
Basson,key_click,key_click,19,193.8,495.3,925.9,1259.7,1625.8,2250.2,-16.01,-11.99,-32.80,-37.80,-42.61,-53.13,210.2,67.9,183.0,215.3,522.5,111.5,463.0,516.8,907.6,122.2,882.9,947.5,1254.7,159.4,1694.7,194.5,2142.6,107.7,0.523,0.0,1.0,21.011,0.001
Basson,multiphonics,multiphonic,56,430.7,689.1,1195.1,1518.1,1851.9,2110.3,5.19,3.76,1.49,-4.08,-6.17,-8.51,389.9,127.2,269.2,506.0,747.7,192.4,581.4,936.7,1121.5,207.6,979.8,1248.9,1486.0,253.4,1865.6,360.1,2424.8,847.7,0.459,0.0,0.0,46.735,0.001
Basson,note_lasting,other,38,484.5,872.1,1248.9,1647.3,1948.8,2121.0,-3.52,-19.24,-20.19,-23.72,-25.19,-27.82,414.5,125.2,312.2,506.0,828.2,227.0,581.4,990.5,1277.5,252.8,1109.0,1561.2,1645.3,273.1,1936.3,264.2,2601.1,972.8,0.462,0.0,0.0,67.358,0.001
Basson,ordinario,ordinario,126,495.3,915.2,1216.6,1658.1,2002.6,2950.0,-8.71,-21.94,-22.41,-27.97,-29.86,-40.85,425.8,133.7,312.2,527.6,831.5,214.6,656.8,969.0,1238.2,253.9,1119.7,1302.8,1637.6,299.9,2048.3,481.9,3040.7,1058.3,0.45,0.0,0.0,71.959,0.002
Basson,ordinario_quartertones,ordinario,119,441.4,850.6,1216.6,1658.1,2056.4,2691.7,-12.41,-22.29,-22.51,-27.25,-29.48,-42.58,396.6,136.6,247.6,516.8,804.0,233.1,581.4,979.8,1257.9,274.8,1087.4,1324.3,1666.9,331.3,2229.3,685.1,3152.7,1176.4,0.445,0.0,0.0,68.951,0.002
Basson,sforzato,other,78,484.5,893.6,1248.9,1625.8,2013.4,2724.0,-5.29,-18.20,-17.37,-22.41,-24.37,-32.76,434.1,126.8,355.3,527.6,871.1,250.9,635.2,1065.9,1268.7,247.4,1109.0,1410.4,1648.5,297.2,2101.2,464.9,2846.5,871.4,0.46,0.0,0.0,26.937,0.001
Basson,staccato,staccato,41,495.3,861.3,1205.9,1658.1,1970.3,2142.6,2.55,-12.38,-11.97,-17.70,-21.07,-24.35,430.9,170.0,215.3,559.9,816.2,252.3,549.1,1012.1,1230.3,251.4,1087.4,1367.4,1601.5,253.8,1975.2,318.8,2394.4,828.1,0.395,0.0,0.5,61.546,0.001
Basson,trill_major_second_up,trill,37,495.3,882.9,1216.6,1571.9,1830.3,2078.0,12.05,-3.96,-2.02,-10.91,-13.73,-13.45,425.4,117.7,323.0,516.8,817.1,202.7,635.2,958.2,1182.6,180.5,1109.0,1259.7,1579.4,270.2,1812.2,243.1,1997.2,143.1,0.473,0.0,0.0,58.716,0.001
Basson,trill_minor_second_up,trill,39,516.8,936.7,1248.9,1582.7,2013.4,2110.3,9.00,-4.79,-3.73,-11.56,-14.67,-14.41,455.5,116.2,376.8,527.6,891.4,210.6,689.1,1012.1,1281.5,265.0,1152.0,1324.3,1671.6,440.1,2099.1,608.7,2683.9,1076.4,0.476,0.0,0.0,53.969,0.002
Basson,vibrato,vibrato,41,376.8,689.1,1195.1,1561.2,1970.3,2605.5,-12.73,-11.66,-13.52,-19.81,-21.52,-32.45,368.7,153.6,204.6,516.8,752.9,233.1,527.6,947.5,1190.4,226.0,1033.6,1259.7,1631.3,468.2,2078.5,670.7,3127.0,1223.2,0.42,0.0,0.0,39.061,0.003
Basson+sourdine,ordinario,ordinario,41,484.5,882.9,1248.9,1550.4,1830.3,4435.8,-4.15,-20.38,-22.56,-29.67,-31.10,-42.04,407.6,142.0,290.7,516.8,808.0,238.9,581.4,990.5,1224.6,273.6,1001.3,1367.4,1651.4,664.9,2160.7,898.7,3622.5,1386.9,0.446,0.0,0.0,85.629,0.002
Clarinette en Sib,aeolian_and_ordinario,ordinario,28,279.9,850.6,1421.2,2584.0,3165.4,3671.4,-44.50,-55.78,-53.31,-50.31,-50.61,-49.62,313.0,159.0,193.8,419.9,929.8,417.1,613.7,1205.9,1543.9,597.7,1065.9,1991.8,2479.4,667.1,3026.2,692.7,3741.8,781.9,0.408,0.095,0.0,15.741,0.002
Clarinette en Sib,crescendo,crescendo,41,527.6,1238.2,1755.0,2325.6,3100.8,3800.6,-34.99,-24.95,-25.54,-27.71,-27.78,-29.43,638.4,395.0,290.7,936.7,1354.2,638.9,872.1,1668.8,1901.0,714.1,1388.9,2347.1,2499.7,857.1,3066.1,1055.2,3887.8,1132.9,0.2,0.14,0.0,13.513,0.005
Clarinette en Sib,crescendo_to_decrescendo,crescendo,45,516.8,1119.7,1496.6,1927.2,2196.4,2562.5,-41.46,-33.70,-30.22,-34.18,-36.46,-37.80,682.4,489.1,279.9,990.5,1415.0,885.0,818.3,1604.2,2052.6,1325.0,1248.9,1970.3,2282.0,1155.3,2568.6,1046.6,2796.0,851.0,0.2,0.0,0.0,37.528,0.005
Clarinette en Sib,decrescendo,crescendo,41,559.9,1141.3,1550.4,2357.9,2487.1,3499.1,-36.84,-28.20,-26.24,-30.77,-31.34,-31.25,696.9,453.6,312.2,990.5,1447.2,824.5,829.0,1658.1,2137.0,1226.0,1313.5,2497.9,2643.2,1273.5,2664.9,740.0,3482.1,753.3,0.2,0.003,0.0,20.344,0.005
Clarinette en Sib,flatterzunge,flutter,126,495.3,1152.0,1658.1,2131.8,2907.0,3294.6,-34.45,-22.76,-24.38,-29.00,-24.58,-28.77,618.7,410.5,258.4,936.7,1314.0,711.1,764.4,1647.3,1958.2,1039.6,1162.8,2347.1,2478.6,1183.2,2949.6,1016.9,3389.5,771.7,0.2,0.0,0.0,35.749,0.005
Clarinette en Sib,flatterzunge_high_register,flutter,10,1830.3,3520.7,5221.8,5943.2,,,-20.75,-29.21,-37.06,-39.25,,,1831.4,137.7,1755.0,1970.3,3347.3,635.7,3283.8,3692.9,4843.8,1006.5,4920.3,5469.4,5049.5,893.6,,,,,0.383,0.037,0.0,18.645,0.005
Clarinette en Sib,glissando,glissando,37,732.1,1464.3,2153.3,2842.4,3606.8,3628.3,-6.93,-7.28,-13.27,-28.16,-24.23,-23.17,733.0,67.0,699.8,786.0,1394.7,192.0,1335.1,1528.9,2025.9,337.9,1830.3,2261.0,2638.4,517.2,3216.0,610.0,3747.3,672.7,0.55,0.0,0.5,37.277,0.004
Clarinette en Sib,key_click,key_click,20,269.2,656.8,1022.8,1421.2,1819.6,2960.8,-34.91,-43.45,-36.16,-42.46,-46.62,-46.32,259.5,79.1,193.8,323.0,703.1,190.4,602.9,882.9,1064.3,266.4,872.1,1130.5,1489.6,374.6,2064.0,594.7,3045.3,742.5,0.509,0.089,1.0,16.063,0.001
Clarinette en Sib,multiphonics,multiphonic,35,312.2,775.2,1130.5,1593.5,2390.2,3046.9,-28.30,-34.87,-26.04,-36.57,-37.59,-37.48,360.8,202.0,279.9,333.8,846.3,217.5,699.8,1001.3,1240.3,322.6,1033.6,1432.0,1763.3,445.0,2365.0,483.6,3029.5,488.0,0.347,0.0,0.0,56.227,0.006
